Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Time
SEA,LIH,2019-12-17,428,2,"(OGG, HNL)",11.92,10:00a - 7:55p
SEA,LIH,2019-12-18,402,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-18,402,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-18,423,1,(LAX),10.15,1:20p - 9:29p
SEA,LIH,2019-12-18,423,1,(LAX),10.32,5:50a - 2:09p
SEA,LIH,2019-12-18,426,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-18,429,1,(LAX),18.77,8:00p - 12:46p
SEA,LIH,2019-12-18,439,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-18,439,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-18,441,1,(LAX),21.42,5:21p - 12:46p
SEA,LIH,2019-12-18,441,1,(LAX),27.48,8:00p - 9:29p
SEA,LIH,2019-12-18,461,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-18,465,2,"(LAX, PHX)",15.35,5:50a - 7:11p
SEA,LIH,2019-12-18,466,1,(OGG),29.37,10:00a - 1:22p
SEA,LIH,2019-12-18,477,1,(LAX),13.07,10:25a - 9:29p
SEA,LIH,2019-12-18,478,1,(HNL),15.52,9:05a - 10:36p
SEA,LIH,2019-12-18,478,1,(HNL),15.52,9:05a - 10:36p
SEA,LIH,2019-12-18,479,1,(PHX),16.18,5:00a - 7:11p
SEA,LIH,2019-12-18,479,1,(LAX),18.77,8:00p - 12:46p
SEA,LIH,2019-12-18,479,1,(LAX),20.02,7:00p - 1:01p
SEA,LIH,2019-12-18,482,2,"(OGG, HNL)",14.60,10:00a - 10:36p
SEA,LIH,2019-12-19,429,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-19,479,1,(SFO),14.92,7:50a - 8:45p
SEA,LIH,2019-12-19,483,2,"(SFO, HNL)",14.08,7:50a - 7:55p
SEA,LIH,2019-12-19,523,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-19,523,1,(LAX),10.15,1:20p - 9:29p
SEA,LIH,2019-12-19,523,1,(LAX),10.32,5:50a - 2:09p
SEA,LIH,2019-12-19,523,1,(PHX),12.93,8:15a - 7:11p
