Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Departure,Arrival,Carrier
SEA,LIH,2019-12-15,325,1,(SFO),15.17,10:30p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,332,1,(LAX),26.80,1:20p,2:08p,American Airlines
SEA,LIH,2019-12-15,332,1,(LAX),27.47,8:00p,9:28p,American Airlines
SEA,LIH,2019-12-15,334,1,(SJC),17.92,7:45p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,339,1,(SJC),17.00,8:40p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,345,1,(SJC),21.58,4:05p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,350,1,(SJC),19.92,5:45p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,352,1,(SFO),15.17,10:30p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,359,1,(SJC),17.00,8:40p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,369,1,(SJC),23.33,2:20p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,370,1,(LAX),20.13,8:00p,2:08p,American Airlines
SEA,LIH,2019-12-15,371,1,(SJC),19.92,5:45p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,389,1,(SJC),23.33,2:20p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,390,1,(LAX),17.63,5:50a,9:28p,American Airlines
SEA,LIH,2019-12-15,390,0,(),6.08,5:35p,9:40p,Alaska Airlines
SEA,LIH,2019-12-15,390,0,(),6.08,10:05a,2:10p,Alaska Airlines
SEA,LIH,2019-12-15,392,1,(LAX),22.78,5:21p,2:08p,American Airlines
SEA,HNL,2019-12-14,317,1,(SJC),17.33,7:45p,11:05a,Alaska Airlines
SEA,HNL,2019-12-14,343,1,(LAX),20.78,5:21p,12:08p,American Airlines
SEA,HNL,2019-12-14,354,1,(LAX),26.73,5:21p,6:05p,American Airlines
SEA,HNL,2019-12-14,364,2,"(LGB, SFO)",24.90,2:41p,1:35p,Jetblue Airways
SEA,HNL,2019-12-14,377,1,(SAN),17.75,8:15p,12:00p,Alaska Airlines
SEA,HNL,2019-12-14,387,1,(SAN),22.25,3:45p,12:00p,Alaska Airlines
SEA,HNL,2019-12-14,393,2,"(YVR, YEG)",15.13,7:40a,8:48p,Westjet
SEA,HNL,2019-12-14,397,1,(SAN),17.75,8:15p,12:00p,Alaska Airlines
SEA,HNL,2019-12-14,409,1,(SFO),9.58,6:00a,1:35p,Alaska Airlines
SEA,HNL,2019-12-14,409,1,(SFO),15.67,9:30p,11:10a,Alaska Airlines
SEA,HNL,2019-12-14,409,1,(SAN),22.25,3:45p,12:00p,Alaska Airlines
SEA,HNL,2019-12-14,411,1,(SAN),26.08,11:55a,12:00p,Alaska Airlines
SEA,HNL,2019-12-14,420,1,(SFO),20.17,6:27p,12:37p,United Airlines
SEA,HNL,2019-12-14,427,1,(LAX),15.67,9:20p,11:00a,Alaska Airlines
SEA,HNL,2019-12-14,429,1,(LAX),18.33,9:20p,1:40p,Alaska Airlines
SEA,HNL,2019-12-14,431,1,(SAN),26.08,11:55a,12:00p,Alaska Airlines
SEA,HNL,2019-12-14,437,1,(SAN),24.08,1:55p,12:00p,Alaska Airlines
SEA,HNL,2019-12-14,439,1,(LGB),22.32,2:41p,11:00a,Jetblue Airways
SEA,HNL,2019-12-14,439,1,(LAX),23.92,3:45p,1:40p,Alaska Airlines
SEA,HNL,2019-12-14,441,0,(),6.00,5:30p,9:30p,Alaska Airlines
SEA,HNL,2019-12-15,343,1,(LAX),18.13,8:00p,12:08p,American Airlines
SEA,HNL,2019-12-15,343,1,(LAX),20.32,5:50a,12:09a,American Airlines
SEA,HNL,2019-12-15,344,1,(OGG),8.08,10:00a,4:05p,Hawaiian Airlines
SEA,HNL,2019-12-15,344,1,(OGG),8.08,10:00a,4:05p,Hawaiian Airlines
SEA,HNL,2019-12-15,354,1,(LAX),24.08,8:00p,6:05p,American Airlines
SEA,HNL,2019-12-15,354,1,(LAX),24.80,1:20p,12:08p,American Airlines
SEA,HNL,2019-12-15,356,1,(PHX),24.17,5:55p,4:05p,American Airlines
SEA,HNL,2019-12-15,364,2,"(LGB, SFO)",24.90,2:41p,1:35p,Jetblue Airways
SEA,HNL,2019-12-15,372,1,(SJC),17.33,7:45p,11:05a,Alaska Airlines
SEA,HNL,2019-12-15,379,1,(SFO),14.67,10:30p,11:10a,Alaska Airlines
SEA,HNL,2019-12-15,395,1,(SFO),25.60,1:01p,12:37p,United Airlines
SEA,HNL,2019-12-15,398,1,(SJC),16.42,8:40p,11:05a,Alaska Airlines
SEA,HNL,2019-12-15,400,1,(OGG),11.38,10:00a,7:23p,Hawaiian Airlines
SEA,HNL,2019-12-15,400,1,(OGG),11.38,10:00a,7:23p,Hawaiian Airlines
SEA,HNL,2019-12-15,407,1,(OGG),22.90,10:00a,6:54a,Hawaiian Airlines
SEA,HNL,2019-12-15,409,1,(SFO),9.58,6:00a,1:35p,Alaska Airlines
SEA,HNL,2019-12-15,411,1,(SFO),9.08,1:01p,8:06p,United Airlines
SEA,HNL,2019-12-15,412,1,(SFO),8.62,6:00a,12:37p,United Airlines
SEA,HNL,2019-12-15,414,1,(SFO),19.12,7:30p,12:37p,United Airlines
SEA,HNL,2019-12-15,417,1,(LGB),16.58,6:30a,9:05p,Jetblue Airways
SEA,OGG,2019-12-14,367,2,"(SFO, LAX)",12.90,9:35a,8:29p,United Airlines
SEA,OGG,2019-12-14,367,2,"(SFO, LAX)",12.90,9:35a,8:29p,United Airlines
SEA,OGG,2019-12-14,381,0,(),6.17,5:45p,9:55p,Alaska Airlines
SEA,OGG,2019-12-14,384,0,(),6.42,10:00a,2:25p,Hawaiian Airlines
SEA,OGG,2019-12-14,384,0,(),6.42,10:00a,2:25p,Hawaiian Airlines
SEA,OGG,2019-12-14,390,1,(SFO),29.10,6:27p,9:33p,United Airlines
SEA,OGG,2019-12-14,393,1,(PHX),12.00,8:15a,6:15p,American Airlines
SEA,OGG,2019-12-14,396,1,(SFO),15.00,9:30p,10:30a,Alaska Airlines
SEA,OGG,2019-12-14,399,1,(SFO),16.67,9:30p,12:10p,Alaska Airlines
SEA,OGG,2019-12-14,402,1,(SJC),16.75,7:45p,10:30a,Alaska Airlines
SEA,OGG,2019-12-14,402,1,(OAK),20.33,4:05p,10:25a,Alaska Airlines
